,watt,Ir,Iy,Ib,Vr,Vy,Vb,PF,distance
180,18,10.79,1.51,6.449999999999999,236.51000000000002,238.29000000000002,238.31,0.971,210
181,18,10.83,1.51,6.4799999999999995,235.0,237.35,237.3,0.971,210
182,18,10.86,1.52,6.5,234.37,236.29000000000002,236.3,0.971,210
183,18,10.799999999999999,1.51,6.4799999999999995,235.23000000000002,237.1,237.14000000000001,0.971,210
184,18,10.74,1.51,6.449999999999999,236.07,237.67000000000002,238.04000000000002,0.971,210
185,18,10.75,1.51,6.43,236.18,237.76000000000002,238.3,0.971,210
186,18,10.74,1.5,6.449999999999999,236.19,237.52,237.97,0.971,210
187,18,10.73,1.52,6.449999999999999,235.70000000000002,236.98000000000002,237.55,0.971,210
188,18,10.65,1.5,6.39,237.8,239.49,239.68,0.972,210
189,18,10.64,1.49,6.39,237.8,239.42000000000002,239.77,0.971,210
190,18,10.68,1.5,6.3999999999999995,237.37,239.24,239.33,0.971,210
191,18,10.69,1.49,6.38,237.82,239.71,239.8,0.971,210
192,18,9.95,1.5,6.3999999999999995,237.34,239.05,238.95000000000002,0.97,210
193,18,9.98,1.5,6.43,236.8,238.77,238.55,0.97,210
194,18,9.92,1.49,6.3999999999999995,237.83,240.04000000000002,239.85,0.969,210
195,18,9.9,1.49,6.3999999999999995,238.18,240.26000000000002,240.0,0.969,210
196,18,9.91,1.49,6.41,238.1,239.83,239.77,0.969,210
197,18,9.95,1.51,6.449999999999999,237.14000000000001,239.21,238.96,0.97,210
198,18,9.87,1.5,6.41,239.6,241.62,241.45000000000002,0.969,210
199,18,9.82,1.5,6.3999999999999995,241.79000000000002,244.02,243.59,0.969,210
200,18,10.49,1.46,6.2299999999999995,243.71,246.02,246.3,0.971,210
201,18,10.52,1.47,6.25,243.02,245.20000000000002,245.70000000000002,0.97,210
202,18,10.56,1.48,6.279999999999999,241.8,243.74,244.15,0.971,210
203,18,10.53,1.47,6.27,242.61,244.56,244.98000000000002,0.971,210
204,18,10.59,1.48,6.31,240.48000000000002,242.51000000000002,242.67000000000002,0.971,210
205,18,10.61,1.48,6.319999999999999,239.72,241.63,242.03,0.971,210
206,18,10.59,1.48,6.319999999999999,240.1,242.0,242.6,0.97,210
207,18,10.62,1.49,6.35,239.04000000000002,240.95000000000002,241.41,0.971,210
208,18,10.7,1.5,6.41,236.75,238.37,238.94,0.971,210
209,18,10.709999999999999,1.5,6.41,236.65,238.4,239.0,0.971,210
210,18,10.81,1.52,6.4799999999999995,233.88,235.84,236.12,0.968,240
211,18,10.78,1.51,6.46,234.57,236.69,237.19,0.968,240
212,18,10.79,1.52,6.4799999999999995,234.27,236.39000000000001,236.57,0.968,240
213,18,10.82,1.52,6.5,233.83,235.72,236.03,0.968,240
214,18,10.75,1.51,6.4399999999999995,236.23000000000002,238.33,238.77,0.969,240
215,18,10.65,1.49,6.39,238.29000000000002,240.37,240.48000000000002,0.968,240
216,18,10.7,1.5,6.43,237.28,239.17000000000002,239.55,0.968,240
217,18,10.629999999999999,1.49,6.39,238.82,241.08,241.16,0.968,240
218,18,10.61,1.5,6.3999999999999995,238.86,240.84,241.09,0.968,240
219,18,10.61,1.49,6.39,239.27,241.58,241.36,0.968,240
220,18,10.66,1.49,6.39,239.35,241.51000000000002,241.67000000000002,0.968,240
221,18,10.66,1.5,6.41,239.15,241.1,241.19,0.968,240
222,18,10.65,1.49,6.38,240.66,243.28,242.93,0.968,240
223,18,10.79,1.51,6.4799999999999995,236.85,239.28,239.14000000000001,0.968,240
224,18,10.04,1.52,6.51,235.89000000000001,238.42000000000002,238.23000000000002,0.966,240
225,18,9.969999999999999,1.52,6.4799999999999995,238.94,241.31,241.21,0.966,240
226,18,9.95,1.53,6.489999999999999,240.73000000000002,243.43,243.05,0.966,240
227,18,9.84,1.46,6.2299999999999995,246.74,248.76000000000002,248.68,0.966,240
228,18,10.549999999999999,1.46,6.22,246.45000000000002,248.49,248.61,0.968,240
229,18,10.49,1.46,6.199999999999999,247.02,248.88,249.09,0.968,240
230,18,10.51,1.46,6.22,246.23000000000002,247.94,248.28,0.968,240
231,18,10.53,1.47,6.239999999999999,245.74,247.61,247.98000000000002,0.968,240
232,18,10.57,1.47,6.25,245.63,247.35,247.62,0.968,240
233,18,10.51,1.46,6.2299999999999995,246.1,248.12,248.25,0.967,240
234,18,10.58,1.48,6.279999999999999,244.11,245.95000000000002,246.08,0.968,240
235,18,10.57,1.47,6.25,245.24,247.54000000000002,247.68,0.968,240
236,18,10.56,1.47,6.27,244.29000000000002,246.27,246.74,0.967,240
237,18,10.56,1.47,6.26,244.89000000000001,246.67000000000002,246.97,0.968,240
238,18,10.629999999999999,1.48,6.31,242.82,244.68,244.94,0.968,240
239,18,10.61,1.48,6.319999999999999,242.84,244.74,244.88,0.967,240
240,18,10.65,1.48,6.33,241.96,243.95000000000002,244.34,0.965,270
241,18,10.65,1.48,6.33,241.82,243.56,243.94,0.965,270
242,18,10.66,1.49,6.359999999999999,240.81,242.71,243.08,0.965,270
243,18,10.67,1.48,6.34,240.85,242.71,243.1,0.965,270
244,18,10.66,1.49,6.34,240.0,241.98000000000002,242.17000000000002,0.965,270
245,18,10.7,1.49,6.38,238.81,240.6,240.85,0.964,270
246,18,10.76,1.5,6.42,237.20000000000002,239.01000000000002,239.12,0.965,270
247,18,10.75,1.51,6.4399999999999995,237.13,238.55,238.77,0.965,270
248,18,10.74,1.5,6.41,238.0,239.61,239.99,0.965,270
249,18,10.91,1.53,6.529999999999999,233.71,235.64000000000001,235.86,0.965,270
250,18,10.969999999999999,1.53,6.56,232.72,234.58,234.79000000000002,0.966,270
251,18,10.95,1.53,6.56,232.42000000000002,234.24,234.67000000000002,0.965,270
252,18,11.0,1.54,6.58,231.37,233.72,234.14000000000001,0.965,270
253,18,10.89,1.52,6.5,233.93,236.73000000000002,237.09,0.965,270
254,18,10.83,1.51,6.47,235.27,238.15,238.11,0.965,270
255,18,10.87,1.52,6.52,233.91,235.9,235.84,0.966,270
256,18,10.73,1.51,6.43,236.75,238.94,239.05,0.965,270
257,18,10.73,1.51,6.4399999999999995,235.92000000000002,237.98000000000002,238.41,0.965,270
258,18,10.709999999999999,1.5,6.3999999999999995,237.53,239.88,239.97,0.964,270
259,18,10.6,1.5,6.39,238.72,240.84,240.85,0.965,270
260,18,10.54,1.49,6.34,240.54000000000002,242.56,242.64000000000001,0.965,270
261,18,10.54,1.49,6.34,240.18,242.43,242.5,0.965,270
262,18,10.629999999999999,1.5,6.41,237.86,239.79000000000002,239.66,0.966,270
263,18,10.65,1.5,6.3999999999999995,237.98000000000002,240.45000000000002,240.34,0.965,270
264,18,10.69,1.5,6.3999999999999995,237.93,240.54000000000002,240.17000000000002,0.964,270
265,18,9.93,1.5,6.3999999999999995,238.65,241.19,240.74,0.964,270
266,18,10.7,1.5,6.41,238.65,241.11,240.92000000000002,0.965,270
267,18,10.67,1.5,6.41,238.87,241.20000000000002,241.17000000000002,0.965,270
268,18,10.34,1.46,6.199999999999999,247.89000000000001,249.8,249.86,0.963,270
269,18,10.35,1.46,6.1899999999999995,247.9,249.76000000000002,250.20000000000002,0.963,270
270,18,10.32,1.46,6.18,248.28,249.79000000000002,250.42000000000002,0.96,300
271,18,10.31,1.45,6.17,248.56,250.32,250.65,0.96,300
272,18,11.0,1.45,6.17,248.45000000000002,250.25,250.75,0.961,300
273,18,11.02,1.45,6.18,247.93,249.72,250.05,0.961,300
274,18,10.99,1.45,6.18,248.05,250.01000000000002,250.20000000000002,0.961,300
275,18,10.93,1.45,6.1499999999999995,248.87,250.93,251.25,0.961,300
276,18,10.98,1.45,6.1499999999999995,248.39000000000001,250.78,250.96,0.961,300
277,18,10.95,1.45,6.1499999999999995,248.3,250.31,250.73000000000002,0.961,300
278,18,10.98,1.45,6.17,247.87,249.88,250.05,0.962,300
279,18,11.0,1.46,6.1899999999999995,247.03,249.05,249.22,0.962,300
280,18,11.01,1.46,6.1899999999999995,246.9,249.07,249.26000000000002,0.962,300
281,18,11.04,1.46,6.22,246.12,247.92000000000002,248.17000000000002,0.962,300
282,18,11.07,1.46,6.22,245.96,247.86,248.18,0.962,300
283,18,11.08,1.47,6.239999999999999,245.02,246.91,247.29000000000002,0.962,300
284,18,11.07,1.47,6.239999999999999,244.71,246.69,247.0,0.962,300
285,18,11.1,1.47,6.279999999999999,243.77,245.75,246.17000000000002,0.961,300
286,18,11.12,1.47,6.29,242.89000000000001,244.94,245.19,0.962,300
287,18,11.19,1.48,6.33,241.81,243.73000000000002,243.76000000000002,0.962,300
288,18,11.209999999999999,1.49,6.34,241.19,243.02,243.37,0.962,300
289,18,11.23,1.49,6.35,240.51000000000002,242.59,242.72,0.962,300
290,18,11.27,1.5,6.39,239.08,241.24,241.17000000000002,0.962,300
291,18,11.28,1.5,6.41,238.51000000000002,240.66,240.82,0.962,300
292,18,11.37,1.51,6.449999999999999,237.1,239.42000000000002,239.29000000000002,0.962,300
293,18,11.379999999999999,1.52,6.4799999999999995,236.55,238.39000000000001,238.52,0.962,300
294,18,11.34,1.51,6.46,236.74,238.58,238.89000000000001,0.962,300
295,18,11.43,1.52,6.51,234.91,236.92000000000002,237.06,0.963,300
296,18,11.41,1.52,6.489999999999999,235.28,236.99,237.4,0.963,300
297,18,11.29,1.5,6.42,237.9,239.94,239.96,0.962,300
298,18,11.28,1.5,6.3999999999999995,238.37,240.45000000000002,240.69,0.962,300
299,18,10.06,1.51,6.47,235.81,238.17000000000002,237.58,0.961,300
300,18,10.049999999999999,1.52,6.47,236.48000000000002,239.18,238.33,0.958,330
301,18,9.95,1.51,6.42,240.27,242.61,242.13,0.957,330
302,18,10.17,1.44,6.9799999999999995,249.21,251.0,251.0,0.958,330
303,18,10.18,1.44,6.989999999999999,249.14000000000001,251.12,251.06,0.958,330
304,18,10.15,1.44,6.97,249.66,251.31,251.64000000000001,0.958,330
